"row_key","company_identifier","creative_identifier","old_decision","new_decision","old_internal_segment","new_internal_segment","old_recommended_action","new_recommended_action","reason_for_change_if_visible_from_tags","actionability_changed","old_actionability_state","new_actionability_state","queue_eligibility_changed","old_queue_eligible","new_queue_eligible","apply_eligibility_changed","old_apply_eligible","new_apply_eligible","push_readiness_changed","old_push_readiness","new_push_readiness"
"company-01|company-01-creative-01","company-01","company-01-creative-01","Retest","Refresh","needs_new_variant","fatigued_winner","hold_no_touch","Refresh","fatigue_pressure|business_validation_missing","true","blocked","review_only","false","false","false","false","false","false","true","blocked_from_push","operator_review_required"
"company-01|company-01-creative-02","company-01","company-01-creative-02","Scale Review","Test More","scale_review","promising_under_sampled","hold_no_touch","Test More","strong_relative_winner|business_validation_missing","true","blocked","review_only","false","false","false","false","false","false","true","blocked_from_push","read_only_insight"
"company-01|company-01-creative-03","company-01","company-01-creative-03","Scale Review","Refresh","scale_review","fatigued_winner","keep_in_test","Refresh","fatigue_pressure","false","review_only","review_only","false","false","false","false","false","false","false","operator_review_required","operator_review_required"
"company-01|company-01-creative-04","company-01","company-01-creative-04","Protect","Refresh","protected_winner","fatigued_winner","hold_no_touch","Refresh","fatigue_pressure|business_validation_missing","true","blocked","review_only","false","false","false","false","false","false","true","blocked_from_push","operator_review_required"
"company-01|company-01-creative-05","company-01","company-01-creative-05","Scale Review","Scale Review","scale_review","scale_review","keep_in_test","Scale Review","strong_relative_winner|business_validation_missing","true","review_only","blocked","false","false","false","false","false","false","true","operator_review_required","blocked_from_push"
"company-01|company-01-creative-07","company-01","company-01-creative-07","Refresh","Not Enough Data","needs_new_variant","creative_learning_incomplete","keep_in_test","Not Enough Data","low_evidence|creative_learning_incomplete","false","review_only","review_only","false","false","false","false","false","false","true","operator_review_required","read_only_insight"
"company-01|company-01-creative-08","company-01","company-01-creative-08","Refresh","Refresh","fatigued_winner","fatigued_winner","refresh_replace","Refresh","fatigue_pressure","true","review_only","blocked","false","false","false","false","false","false","true","operator_review_required","blocked_from_push"
"company-01|company-01-creative-09","company-01","company-01-creative-09","Watch","Refresh","hold_monitor","fatigued_winner","keep_in_test","Refresh","fatigue_pressure","true","review_only","blocked","false","false","false","false","false","false","true","read_only_insight","blocked_from_push"
"company-01|company-01-creative-10","company-01","company-01-creative-10","Scale Review","Refresh","scale_review","fatigued_winner","hold_no_touch","Refresh","fatigue_pressure","false","blocked","blocked","false","false","false","false","false","false","false","blocked_from_push","blocked_from_push"
"company-02|company-02-creative-03","company-02","company-02-creative-03","Watch","Refresh","hold_monitor","fatigued_winner","keep_in_test","Refresh","fatigue_pressure","false","review_only","review_only","false","false","false","false","false","false","true","read_only_insight","operator_review_required"
"company-03|company-03-creative-01","company-03","company-03-creative-01","Refresh","Cut","needs_new_variant","spend_waste","refresh_replace","Cut","catastrophic_cpa|fatigue_pressure","false","review_only","review_only","false","false","false","false","false","false","false","operator_review_required","operator_review_required"
"company-03|company-03-creative-03","company-03","company-03-creative-03","Watch","Protect","hold_monitor","protected_winner","keep_in_test","Protect","strong_relative_winner","true","review_only","blocked","false","false","false","false","false","false","true","read_only_insight","blocked_from_push"
"company-03|company-03-creative-06","company-03","company-03-creative-06","Refresh","Test More","fatigued_winner","promising_under_sampled","refresh_replace","Test More","low_evidence|business_validation_missing","false","blocked","blocked","false","false","false","false","false","false","false","blocked_from_push","blocked_from_push"
"company-03|company-03-creative-10","company-03","company-03-creative-10","Test More","Not Enough Data","promising_under_sampled","creative_learning_incomplete","keep_in_test","Not Enough Data","low_evidence","false","review_only","review_only","false","false","false","false","false","false","false","read_only_insight","read_only_insight"
"company-04|company-04-creative-03","company-04","company-04-creative-03","Test More","Watch","promising_under_sampled","hold_monitor","refresh_replace","Watch","business_validation_missing|commercial_truth_missing","true","blocked","review_only","false","false","false","false","false","false","true","blocked_from_push","read_only_insight"
"company-04|company-04-creative-04","company-04","company-04-creative-04","Not eligible for evaluation","Not Enough Data","contextual_only","creative_learning_incomplete","keep_in_test","Not Enough Data","low_evidence","true","blocked","review_only","false","false","false","false","false","false","true","blocked_from_push","read_only_insight"
"company-04|company-04-creative-05","company-04","company-04-creative-05","Test More","Not eligible for evaluation","promising_under_sampled","contextual_only","keep_in_test","Not Enough Data","low_evidence","true","review_only","blocked","false","false","false","false","false","false","true","read_only_insight","blocked_from_push"
"company-05|company-05-creative-01","company-05","company-05-creative-01","Protect","Refresh","protected_winner","fatigued_winner","hold_no_touch","Refresh","fatigue_pressure","true","blocked","review_only","false","false","false","false","false","false","true","blocked_from_push","operator_review_required"
"company-05|company-05-creative-03","company-05","company-05-creative-03","Cut","Refresh","spend_waste","fatigued_winner","block_deploy","Refresh","fatigue_pressure","false","review_only","review_only","false","false","false","false","false","false","false","operator_review_required","operator_review_required"
"company-05|company-05-creative-04","company-05","company-05-creative-04","Watch","Protect","hold_monitor","protected_winner","keep_in_test","Protect","strong_relative_winner","true","review_only","blocked","false","false","false","false","false","false","true","read_only_insight","blocked_from_push"
"company-05|company-05-creative-06","company-05","company-05-creative-06","Cut","Protect","spend_waste","protected_winner","block_deploy","Protect","strong_relative_winner","true","review_only","blocked","false","false","false","false","false","false","true","operator_review_required","blocked_from_push"
"company-05|company-05-creative-07","company-05","company-05-creative-07","Cut","Refresh","spend_waste","fatigued_winner","keep_in_test","Refresh","fatigue_pressure","false","review_only","review_only","false","false","false","false","false","false","false","operator_review_required","operator_review_required"
"company-05|company-05-creative-08","company-05","company-05-creative-08","Protect","Refresh","protected_winner","needs_new_variant","hold_no_touch","Refresh","trend_collapse|fatigue_pressure","true","blocked","review_only","false","false","false","false","false","false","true","blocked_from_push","operator_review_required"
"company-05|company-05-creative-09","company-05","company-05-creative-09","Refresh","Watch","needs_new_variant","hold_monitor","refresh_replace","Watch","","false","review_only","review_only","false","false","false","false","false","false","true","operator_review_required","read_only_insight"
"company-05|company-05-creative-10","company-05","company-05-creative-10","Refresh","Watch","needs_new_variant","hold_monitor","refresh_replace","Watch","business_validation_missing","false","review_only","review_only","false","false","false","false","false","false","true","operator_review_required","read_only_insight"
"company-06|company-06-creative-01","company-06","company-06-creative-01","Watch","Cut","hold_monitor","spend_waste","keep_in_test","Cut","below_baseline_waste","false","review_only","review_only","false","false","false","false","false","false","true","read_only_insight","operator_review_required"
"company-06|company-06-creative-03","company-06","company-06-creative-03","Test More","Not Enough Data","promising_under_sampled","creative_learning_incomplete","refresh_replace","Not Enough Data","low_evidence","true","blocked","review_only","false","false","false","false","false","false","true","blocked_from_push","read_only_insight"
"company-06|company-06-creative-04","company-06","company-06-creative-04","Test More","Not Enough Data","promising_under_sampled","creative_learning_incomplete","keep_in_test","Not Enough Data","low_evidence","true","review_only","blocked","false","false","false","false","false","false","true","read_only_insight","blocked_from_push"
"company-06|company-06-creative-05","company-06","company-06-creative-05","Test More","Not Enough Data","promising_under_sampled","creative_learning_incomplete","keep_in_test","Not Enough Data","low_evidence","false","review_only","review_only","false","false","false","false","false","false","false","read_only_insight","read_only_insight"
"company-06|company-06-creative-06","company-06","company-06-creative-06","Test More","Not Enough Data","promising_under_sampled","creative_learning_incomplete","refresh_replace","Not Enough Data","low_evidence","false","blocked","blocked","false","false","false","false","false","false","false","blocked_from_push","blocked_from_push"
"company-06|company-06-creative-07","company-06","company-06-creative-07","Not Enough Data","Not Enough Data","creative_learning_incomplete","creative_learning_incomplete","keep_in_test","Not Enough Data","low_evidence","true","review_only","blocked","false","false","false","false","false","false","true","read_only_insight","blocked_from_push"
"company-06|company-06-creative-08","company-06","company-06-creative-08","Test More","Not Enough Data","promising_under_sampled","creative_learning_incomplete","keep_in_test","Not Enough Data","low_evidence","false","review_only","review_only","false","false","false","false","false","false","false","read_only_insight","read_only_insight"
"company-07|company-07-creative-01","company-07","company-07-creative-01","Refresh","Cut","needs_new_variant","spend_waste","refresh_replace","Cut","catastrophic_cpa|fatigue_pressure","false","review_only","review_only","false","false","false","false","false","false","false","operator_review_required","operator_review_required"
"company-07|company-07-creative-02","company-07","company-07-creative-02","Watch","Protect","hold_monitor","protected_winner","keep_in_test","Protect","strong_relative_winner|business_validation_missing","true","review_only","blocked","false","false","false","false","false","false","true","read_only_insight","blocked_from_push"
"company-07|company-07-creative-03","company-07","company-07-creative-03","Refresh","Cut","needs_new_variant","spend_waste","refresh_replace","Cut","catastrophic_cpa","false","review_only","review_only","false","false","false","false","false","false","false","operator_review_required","operator_review_required"
"company-07|company-07-creative-04","company-07","company-07-creative-04","Refresh","Refresh","needs_new_variant","needs_new_variant","hold_no_touch","Refresh","trend_collapse|fatigue_pressure","true","blocked","review_only","false","false","false","false","false","false","true","blocked_from_push","operator_review_required"
"company-07|company-07-creative-05","company-07","company-07-creative-05","Cut","Refresh","spend_waste","needs_new_variant","keep_in_test","Refresh","trend_collapse|fatigue_pressure","true","review_only","blocked","false","false","false","false","false","false","true","operator_review_required","blocked_from_push"
"company-08|company-08-creative-03","company-08","company-08-creative-03","Scale Review","Cut","scale_review","spend_waste","hold_no_touch","Cut","below_baseline_waste","true","blocked","review_only","false","false","false","false","false","false","true","blocked_from_push","operator_review_required"
"company-08|company-08-creative-04","company-08","company-08-creative-04","Test More","Watch","promising_under_sampled","hold_monitor","hold_no_touch","Watch","business_validation_missing","false","blocked","blocked","false","false","false","false","false","false","false","blocked_from_push","blocked_from_push"
"company-08|company-08-creative-05","company-08","company-08-creative-05","Cut","Watch","spend_waste","hold_monitor","keep_in_test","Watch","business_validation_missing","true","review_only","blocked","false","false","false","false","false","false","true","operator_review_required","blocked_from_push"
"company-08|company-08-creative-06","company-08","company-08-creative-06","Scale Review","Cut","scale_review","spend_waste","hold_no_touch","Cut","below_baseline_waste","true","blocked","review_only","false","false","false","false","false","false","true","blocked_from_push","operator_review_required"
"company-08|company-08-creative-09","company-08","company-08-creative-09","Protect","Watch","protected_winner","hold_monitor","hold_no_touch","Watch","business_validation_missing","false","blocked","blocked","false","false","false","false","false","false","false","blocked_from_push","blocked_from_push"
"company-08|company-08-creative-10","company-08","company-08-creative-10","Watch","Watch","hold_monitor","hold_monitor","keep_in_test","Watch","business_validation_missing","true","review_only","blocked","false","false","false","false","false","false","true","read_only_insight","blocked_from_push"
